Cement Grade (MPa),Cement Density (g/cm3),Cement Content (kg/m3),Water Content (kg/m3),Fine Aggerate Content (kg/m3),Coarse Aggerate Type,Coarse Aggerate Density (g/cm3),Larger Coarse Aggregate Size (mm),Large Coarse Aggregate Size,Medium Coarse Aggregate Size,Small Coarse Aggregate Size,Larger Coarse Aggregate Size Percentage,Large Coarse Aggregate Size Percentage,Medium Coarse Aggregate Size Percentage,Small Coarse Aggregate Size Percentage,Coarse Aggerate Content (kg/m3),Concrete Strength (MPa)
42.5,3.15,380.0,152.0,600.0,3,2.74,4.20,9.50,12.00,16.00,21.00,48.00,22.00,9.00,1540.0,38.90
42.5,3.15,360.0,144.0,620.0,3,2.74,4.20,9.50,12.00,16.00,21.00,48.00,22.00,9.00,1430.0,37.40
42.5,3.15,340.0,136.0,558.0,3,2.74,4.20,9.50,12.00,16.00,21.00,48.00,22.00,9.00,1365.0,39.80
42.5,3.15,346.9,138.8,618.0,3,2.74,4.20,9.50,12.00,16.00,21.00,48.00,22.00,9.00,1411.6,40.10
42.5,3.15,380.0,133.0,620.0,3,2.74,4.20,9.50,12.00,16.00,21.00,48.00,22.00,9.00,1365.0,39.60
42.5,3.15,381.2,133.4,635.3,3,2.74,4.20,9.50,12.00,16.00,21.00,48.00,22.00,9.00,1378.5,40.50
42.5,3.15,340.0,119.0,570.0,3,2.74,4.20,9.50,12.00,16.00,21.00,48.00,22.00,9.00,1540.0,38.70
42.5,3.15,320.0,112.0,558.0,3,2.74,4.20,9.50,12.00,16.00,21.00,48.00,22.00,9.00,1430.0,40.20
43.0,3.15,411.6,193.4,731.3,3,2.93,4.75,9.50,12.00,16.00,10.00,42.00,39.00,9.00,1162.7,32.06
53.0,3.15,470.6,194.8,673.9,3,2.93,4.75,9.50,12.00,16.00,10.00,42.00,39.00,9.00,1163.2,32.81
43.0,3.15,411.6,193.4,731.3,3,2.93,4.75,9.50,12.00,16.00,10.00,42.00,39.00,9.00,1162.7,37.57
53.0,3.15,470.6,194.8,673.9,3,2.93,4.75,9.50,12.00,16.00,10.00,42.00,39.00,9.00,1163.2,37.88
52.5,3.15,350.0,182.0,757.0,4,2.75,3.00,5.00,7.00,9.00,10.00,44.00,36.00,10.00,1135.0,32.50
52.5,3.15,450.0,148.5,760.0,4,2.75,3.00,5.00,7.00,9.00,10.00,44.00,36.00,10.00,1135.0,52.50
52.5,3.15,520.0,135.2,777.0,4,2.75,3.00,5.00,7.00,9.00,10.00,44.00,36.00,10.00,1070.0,87.00
32.5,3.14,289.0,174.0,933.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,900.0,26.90
32.5,3.15,308.0,184.0,927.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,860.0,30.30
32.5,3.15,302.0,183.0,926.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,860.0,29.00
32.5,3.15,301.0,173.0,961.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,863.0,32.60
32.5,3.15,315.0,190.0,904.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,862.0,30.10
32.5,3.15,309.0,190.0,911.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,859.0,28.40
32.5,3.15,309.0,184.0,821.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,975.0,28.50
32.5,3.14,368.0,164.0,886.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,942.0,38.10
32.5,3.14,348.0,169.0,882.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,902.0,39.00
32.5,3.14,370.0,181.0,866.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,887.0,37.50
32.5,3.15,342.0,171.0,885.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,913.0,38.70
32.5,3.14,348.0,169.0,882.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,902.0,38.80
32.5,3.14,370.0,181.0,866.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,887.0,37.40
32.5,3.15,342.0,171.0,885.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,913.0,38.60
32.5,3.14,370.0,181.0,866.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,887.0,39.90
32.5,3.14,342.0,171.0,885.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,913.0,41.00
32.5,3.15,364.0,181.0,865.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,874.0,38.70
32.5,3.15,400.0,179.0,835.0,3,2.67,2.360,4.75,9.50,16.00,44.00,37.00,13.00,6.00,874.0,37.00
32.5,3.15,397.0,180.0,790.0,3,2.67,2.360,4.75,9.50,16.00,44.00,37.00,13.00,6.00,894.0,37.00
32.5,3.15,393.0,183.0,759.0,3,2.60,2.360,4.75,9.50,16.00,6.00,59.00,23.00,12.00,981.0,36.50
32.5,3.15,350.0,175.0,804.0,3,2.60,2.360,4.75,9.50,16.00,6.00,59.00,23.00,12.00,955.0,36.60
32.5,3.15,389.0,183.0,778.0,3,2.60,2.360,4.75,9.50,16.00,6.00,59.00,23.00,12.00,962.0,33.10
32.5,3.15,389.0,184.0,778.0,3,2.60,2.360,4.75,9.50,16.00,6.00,59.00,23.00,12.00,962.0,31.60
32.5,3.15,383.0,184.0,810.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,924.0,34.40
32.5,3.15,378.0,183.0,807.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,902.0,35.80
32.5,3.15,378.0,183.0,818.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,924.0,35.90
32.5,3.15,385.0,184.0,812.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,922.0,34.10
32.5,3.15,383.0,175.0,846.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,905.0,35.60
32.5,3.15,370.0,173.0,889.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,878.0,33.80
32.5,3.15,383.0,179.0,879.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,862.0,34.10
32.5,3.15,380.0,168.0,868.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,903.0,35.80
32.5,3.15,381.0,182.0,812.0,3,2.60,2.360,4.75,9.50,16.00,6.00,59.00,23.00,12.00,956.0,32.60
32.5,3.15,381.0,172.0,815.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,940.0,34.90
32.5,3.15,378.0,183.0,807.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,923.0,34.00
32.5,3.15,401.0,184.0,754.0,3,2.67,2.360,4.75,9.50,16.00,44.00,37.00,13.00,6.00,978.0,38.30
32.5,3.15,381.0,185.0,800.0,3,2.67,2.360,4.75,9.50,16.00,44.00,37.00,13.00,6.00,946.0,35.40
32.5,3.15,383.0,179.0,879.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,862.0,34.70
32.5,3.15,380.0,168.0,868.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,903.0,35.20
32.5,3.15,383.0,175.0,863.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,888.0,34.80
32.5,3.15,360.0,172.0,794.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,965.0,33.70
32.5,3.15,412.0,189.0,730.0,2,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,947.0,37.80
32.5,3.15,411.0,189.0,732.0,2,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,951.0,37.60
32.5,3.15,421.0,180.0,784.0,2,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,927.0,37.70
32.5,3.15,450.0,184.0,713.0,2,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,977.0,37.60
32.5,3.15,453.0,184.0,704.0,2,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,983.0,37.90
32.5,3.15,436.0,183.0,804.0,2,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,889.0,36.60
32.5,3.15,424.0,187.0,812.0,2,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,882.0,37.00
32.5,3.15,405.0,196.0,786.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,879.0,37.60
32.5,3.15,414.0,187.0,818.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,883.0,36.30
32.5,3.15,413.0,183.0,780.0,3,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,900.0,41.60
32.5,3.15,413.0,183.0,783.0,3,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,914.0,39.50
32.5,3.15,447.0,176.0,760.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,970.0,36.20
32.5,3.15,416.0,182.0,771.0,3,2.62,2.360,4.75,9.50,16.00,10.00,60.00,20.00,10.00,954.0,37.70
32.5,3.15,424.0,180.0,813.0,3,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,891.0,38.70
32.5,3.15,422.0,175.0,782.0,3,2.65,2.360,4.75,9.50,16.00,44.00,35.00,13.00,8.00,937.0,38.50
32.5,3.15,390.0,171.0,768.0,3,2.63,2.360,4.75,9.50,16.00,45.00,40.00,10.00,5.00,969.0,37.50
52.5,3.15,533.3,160.0,384.2,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,864.0,80.40
52.5,3.15,533.3,160.0,350.8,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,864.0,78.40
52.5,3.15,566.7,170.0,392.5,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,864.0,75.30
52.5,3.15,566.7,170.0,367.5,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,864.0,74.20
52.5,3.15,566.7,170.0,342.4,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,864.0,73.20
52.5,3.15,600.0,180.0,375.8,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,864.0,70.10
52.5,3.15,600.0,180.0,350.8,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,864.0,71.10
52.5,3.15,600.0,180.0,317.4,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,864.0,70.10
52.5,3.15,457.1,160.0,452.6,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,72.10
52.5,3.15,457.1,160.0,426.0,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,72.10
52.5,3.15,457.1,160.0,399.3,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,72.10
52.5,3.15,485.7,170.0,434.8,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,69.00
52.5,3.15,485.7,170.0,408.2,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,68.00
52.5,3.15,485.7,170.0,381.6,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,65.90
52.5,3.15,514.3,180.0,426.0,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,63.80
52.5,3.15,514.3,180.0,390.5,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,64.80
52.5,3.15,514.3,180.0,363.8,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,918.0,61.70
52.5,3.15,400.0,160.0,488.6,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,59.50
52.5,3.15,400.0,160.0,460.4,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,58.50
52.5,3.15,400.0,160.0,432.2,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,58.50
52.5,3.15,425.0,170.0,479.2,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,57.40
52.5,3.15,425.0,170.0,451.0,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,55.30
52.5,3.15,425.0,170.0,422.8,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,55.30
52.5,3.15,450.0,180.0,460.4,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,53.20
52.5,3.15,450.0,180.0,432.2,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,53.20
52.5,3.15,450.0,180.0,404.0,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,52.10
52.5,3.15,355.6,160.0,498.0,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,55.30
52.5,3.15,355.6,160.0,469.8,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,53.20
52.5,3.15,355.6,160.0,441.6,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,52.10
52.5,3.15,377.8,170.0,488.6,1,2.70,2.360,4.75,9.50,16.00,24.00,52.00,18.00,6.00,972.0,54.20
42.0,3.15,322.0,193.2,815.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,971.0,29.10
42.0,3.15,513.0,205.2,618.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,971.0,43.90
42.0,3.15,342.0,205.2,939.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,794.0,33.70
42.0,3.15,460.0,184.0,563.0,1,2.75,2.360,4.75,9.50,16.00,27.00,45.00,22.00,6.00,1134.0,43.10
42.0,3.15,307.0,184.2,898.0,1,2.75,2.360,4.75,9.50,16.00,27.00,45.00,22.00,6.00,928.0,30.00
42.0,3.15,493.0,197.2,703.0,1,2.75,2.360,4.75,9.50,16.00,27.00,45.00,22.00,6.00,928.0,46.00
42.0,3.15,328.0,196.8,641.0,1,2.75,2.360,4.75,9.50,16.00,27.00,45.00,22.00,6.00,1134.0,29.90
42.0,3.15,386.0,193.0,934.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,794.0,37.30
42.0,3.15,250.0,175.0,1100.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,794.0,19.60
42.0,3.15,410.0,205.0,881.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,794.0,40.00
42.0,3.15,276.0,193.2,1029.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,794.0,23.70
42.0,3.15,386.0,193.0,759.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,971.0,37.60
42.0,3.15,250.0,175.0,925.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,971.0,18.10
42.0,3.15,410.0,205.0,706.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,971.0,39.60
42.0,3.15,276.0,193.2,854.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,971.0,23.90
42.0,3.15,398.0,199.0,820.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,883.0,38.90
42.0,3.15,398.0,199.0,994.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,706.0,32.70
42.0,3.15,398.0,199.0,645.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,1059.0,31.80
42.0,3.15,398.0,199.0,820.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,883.0,40.20
42.0,3.15,540.0,216.0,807.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,794.0,50.60
42.0,3.15,360.0,216.0,787.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,971.0,37.90
42.0,3.15,570.0,228.0,574.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,971.0,51.90
42.0,3.15,380.0,228.0,912.0,1,2.75,2.360,4.75,8.00,10.00,23.33,43.33,24.44,8.89,794.0,36.50
42.0,3.15,513.0,205.2,542.0,1,2.75,2.360,4.75,9.50,16.00,27.00,45.00,22.00,6.00,1134.0,48.30
42.0,3.15,342.0,205.2,892.0,1,2.75,2.360,4.75,9.50,16.00,27.00,45.00,22.00,6.00,928.0,38.90
42.0,3.15,540.0,216.0,692.0,1,2.75,2.360,4.75,9.50,16.00,27.00,45.00,22.00,6.00,928.0,51.30
42.0,3.15,360.0,216.0,643.0,1,2.75,2.360,4.75,9.50,16.00,27.00,45.00,22.00,6.00,1134.0,33.80
42.5,3.15,495.0,173.3,759.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,940.0,58.10
42.5,3.15,335.0,184.3,835.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,959.0,43.30
42.5,3.15,305.0,167.8,830.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1040.0,42.50
42.5,3.15,409.0,139.1,820.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1040.0,54.90
42.5,3.15,400.0,200.0,707.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1055.0,37.90
42.5,3.15,418.0,167.2,585.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1129.0,46.90
42.5,3.15,372.0,163.7,636.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1128.0,37.90
42.5,3.15,344.0,165.1,654.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1136.0,32.10
42.5,3.15,319.0,165.9,675.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1140.0,29.90
42.5,3.15,463.0,185.2,578.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1124.0,53.90
42.5,3.15,423.0,186.1,613.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1129.0,48.00
42.5,3.15,388.0,186.2,641.0,1,2.62,2.360,4.75,9.50,16.00,27.00,50.00,18.00,5.00,1134.0,41.00
42.5,3.15,255.0,158.1,911.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,859.0,28.40
42.5,3.15,260.0,156.0,821.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,975.0,28.50
42.5,3.15,252.0,126.0,886.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,942.0,38.10
42.5,3.15,298.0,143.0,805.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,988.0,33.40
42.5,3.15,276.0,135.2,858.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,914.0,37.60
42.5,3.15,263.0,136.8,839.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,931.0,35.50
42.5,3.15,294.0,132.3,810.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,1000.0,34.10
42.5,3.15,298.0,134.1,847.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,940.0,35.20
42.5,3.15,264.0,129.4,882.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,902.0,39.00
42.5,3.15,284.0,139.2,866.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,887.0,37.40
42.5,3.15,263.0,131.5,885.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,913.0,38.60
42.5,3.15,286.0,143.0,865.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,874.0,38.70
42.5,3.15,312.0,140.4,835.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,894.0,37.00
42.5,3.15,308.0,138.6,790.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,939.0,37.00
42.5,3.15,313.0,147.1,759.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,981.0,36.50
42.5,3.15,294.0,147.0,804.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,955.0,36.60
42.5,3.15,312.0,146.6,778.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,962.0,33.10
42.5,3.15,319.0,149.9,778.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,962.0,31.60
42.5,3.15,306.0,146.9,810.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,924.0,34.40
42.5,3.15,295.0,141.6,807.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,902.0,35.80
42.5,3.15,292.0,140.2,818.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,924.0,35.90
42.5,3.15,303.0,145.4,812.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,922.0,34.10
42.5,3.15,247.0,113.6,846.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,905.0,35.60
42.5,3.15,291.0,136.8,889.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,878.0,33.80
42.5,3.15,302.0,141.9,879.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,862.0,34.10
42.5,3.15,300.0,132.0,868.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,903.0,35.80
42.5,3.15,305.0,146.4,812.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,956.0,32.60
42.5,3.15,299.0,134.6,815.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,940.0,34.90
42.5,3.15,300.0,144.0,807.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,923.0,34.00
42.5,3.15,306.0,140.8,754.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,978.0,38.30
42.5,3.15,297.0,145.5,800.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,946.0,35.40
42.5,3.15,304.0,139.8,863.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,888.0,34.80
42.5,3.15,284.0,136.3,794.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,965.0,33.70
42.5,3.15,309.0,142.1,730.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,947.0,37.80
42.5,3.15,326.0,150.0,732.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,951.0,37.60
42.5,3.15,325.0,139.8,784.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,927.0,36.80
42.5,3.15,348.0,142.7,713.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,977.0,37.60
42.5,3.15,346.0,141.9,704.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,983.0,37.90
42.5,3.15,336.0,141.1,804.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,889.0,36.60
42.5,3.15,327.0,143.9,783.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,956.0,36.00
42.5,3.15,314.0,150.7,786.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,879.0,37.60
42.5,3.15,319.0,143.6,818.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,883.0,36.30
42.5,3.15,306.0,134.6,780.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,900.0,41.60
42.5,3.15,312.0,137.3,783.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,914.0,39.50
42.5,3.15,336.0,134.4,760.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,970.0,36.20
42.5,3.15,318.0,155.8,771.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,954.0,37.70
42.5,3.15,322.0,135.2,782.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,937.0,38.50
42.5,3.15,293.0,128.9,768.0,1,2.63,4.750,9.50,16.00,19.00,14.00,40.00,34.00,12.00,969.0,37.50
32.5,3.15,222.0,197.6,945.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,977.0,20.90
32.5,3.15,223.0,178.4,795.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1137.0,24.60
32.5,3.15,223.0,165.0,795.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1163.0,25.70
32.5,3.15,223.0,162.8,808.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1159.0,25.70
32.5,3.15,335.0,187.6,821.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,985.0,42.00
32.5,3.15,336.0,171.4,722.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1143.0,42.40
32.5,3.15,334.0,167.0,721.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1163.0,41.10
32.5,3.15,335.0,160.8,734.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1161.0,39.30
32.5,3.15,445.0,195.8,721.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,982.0,48.80
32.5,3.15,442.0,181.2,616.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1129.0,46.80
32.5,3.15,442.0,172.4,622.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1158.0,45.80
32.5,3.15,441.0,172.0,632.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1148.0,42.50
32.5,3.15,219.0,188.3,879.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,963.0,21.30
32.5,3.15,221.0,165.8,768.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1125.0,26.50
32.5,3.15,221.0,154.7,771.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1151.0,27.10
32.5,3.15,220.0,154.0,789.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1145.0,26.00
32.5,3.15,337.0,178.6,778.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,990.0,42.70
32.5,3.15,337.0,161.8,661.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1146.0,39.30
32.5,3.15,337.0,155.0,649.0,1,2.64,2.360,4.75,12.60,15.00,30.00,22.00,42.00,6.00,1174.0,39.40
